step,agv_id,x,y,status,is_loaded,battery
1,0,2,2,AGVStatus.IDLE,False,100.0
1,1,2,5,AGVStatus.IDLE,False,100.0
1,2,2,8,AGVStatus.IDLE,False,100.0
2,0,2,2,AGVStatus.IDLE,False,100.0
2,1,2,5,AGVStatus.IDLE,False,100.0
2,2,2,9,AGVStatus.MOVING_TO_PICKUP,False,99.5
3,0,2,2,AGVStatus.IDLE,False,100.0
3,1,2,5,AGVStatus.IDLE,False,100.0
3,2,1,9,AGVStatus.MOVING_TO_PICKUP,False,99.0
4,0,2,2,AGVStatus.IDLE,False,100.0
4,1,2,5,AGVStatus.IDLE,False,100.0
4,2,0,9,AGVStatus.MOVING_TO_PICKUP,False,98.5
5,0,2,2,AGVStatus.IDLE,False,100.0
5,1,2,5,AGVStatus.IDLE,False,100.0
5,2,0,10,AGVStatus.MOVING_TO_PICKUP,False,98.0
6,0,2,2,AGVStatus.IDLE,False,100.0
6,1,2,5,AGVStatus.IDLE,False,100.0
6,2,0,11,AGVStatus.MOVING_TO_PICKUP,False,97.5
7,0,2,2,AGVStatus.IDLE,False,100.0
7,1,2,6,AGVStatus.MOVING_TO_PICKUP,False,99.5
7,2,0,12,AGVStatus.MOVING_TO_PICKUP,False,97.0
8,0,2,2,AGVStatus.IDLE,False,100.0
8,1,2,7,AGVStatus.MOVING_TO_PICKUP,False,99.0
8,2,0,13,AGVStatus.MOVING_TO_PICKUP,False,96.5
9,0,2,2,AGVStatus.IDLE,False,100.0
9,1,2,8,AGVStatus.MOVING_TO_PICKUP,False,98.5
9,2,0,14,AGVStatus.MOVING_TO_PICKUP,False,96.0
10,0,2,3,AGVStatus.MOVING_TO_PICKUP,False,99.5
10,1,2,9,AGVStatus.MOVING_TO_PICKUP,False,98.0
10,2,0,15,AGVStatus.MOVING_TO_PICKUP,False,95.5
11,0,3,3,AGVStatus.MOVING_TO_PICKUP,False,99.0
11,1,2,10,AGVStatus.MOVING_TO_PICKUP,False,97.5
11,2,0,16,AGVStatus.MOVING_TO_PICKUP,False,95.0
12,0,2,3,AGVStatus.MOVING_TO_PICKUP,False,98.5
12,1,2,11,AGVStatus.MOVING_TO_PICKUP,False,97.0
12,2,0,17,AGVStatus.MOVING_TO_PICKUP,False,94.5
13,0,2,4,AGVStatus.MOVING_TO_PICKUP,False,98.0
13,1,2,12,AGVStatus.MOVING_TO_PICKUP,False,96.5
13,2,0,17,AGVStatus.MOVING_TO_DELIVERY,True,94.5
14,0,1,4,AGVStatus.MOVING_TO_PICKUP,False,97.5
